
时间2 (秒 s)	角2 (弧度 rad)	角速度2 (弧度/秒 rad/s)	角加速度2 (弧度/秒² rad/s²)	位置2 (米 m)	速度2 (米/秒 m/s)	加速度2 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)	时间 (秒 s)	角 (弧度 rad)	角速度 (弧度/秒 rad/s)	角加速度 (弧度/秒² rad/s²)	位置 (米 m)	速度 (米/秒 m/s)	加速度 (米/秒² m/s²)
33.720	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.720	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.744	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.730	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.730	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.746	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.740	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.740	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.748	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.750	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.750	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.750	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.760	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.760	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.752	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.770	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.770	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.754	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.780	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.780	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	6.756	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.790	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.790	0.035	-0.873	-43.633	8.3333E-4	-0.021	-1.042	6.758	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.800	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.800	0.017	-0.873	43.633	4.1667E-4	-0.021	1.042	6.760	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.810	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.810	0.017	0.000	43.633	4.1667E-4	0.000	1.042	6.762	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.820	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.820	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.764	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.830	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.830	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.766	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.840	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.840	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.768	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.850	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.850	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.770	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.860	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.860	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.772	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.870	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.870	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.774	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.880	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.880	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.776	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.890	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.890	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.778	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.900	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.900	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.780	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.910	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.910	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.782	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.920	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.920	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.784	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.930	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.930	0.017	0.000	0.000	4.1667E-4	0.000	0.000	6.786	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.940	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.940	0.017	0.000	43.633	4.1667E-4	0.000	1.042	6.788	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.950	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.950	0.017	0.873	43.633	4.1667E-4	0.021	1.042	6.790	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.960	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.960	0.035	0.873	-43.633	8.3333E-4	0.021	-1.042	6.792	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.970	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.970	0.035	0.000	-43.633	8.3333E-4	0.000	-1.042	6.794	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.980	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.980	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.796	-0.314	0.000	0.000	-0.0075	0.000	0.000														
33.990	0.017	0.000	0.000	4.1667E-4	0.000	0.000	33.990	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.798	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.000	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.000	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.800	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.010	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.010	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.802	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.020	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.020	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.804	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.030	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.030	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.806	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.040	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.040	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.808	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.050	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.050	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.810	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.060	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.060	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.812	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.070	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.070	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.814	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.080	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.080	0.035	0.000	0.000	8.3333E-4	0.000	0.000	6.816	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.090	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.090	0.035	0.000	43.633	8.3333E-4	0.000	1.042	6.818	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.100	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.100	0.035	0.873	43.633	8.3333E-4	0.021	1.042	6.820	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.110	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.110	0.052	0.873	-43.633	0.0012	0.021	-1.042	6.822	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.120	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.120	0.052	0.000	-43.633	0.0012	0.000	-1.042	6.824	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.130	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.130	0.052	0.000	0.000	0.0012	0.000	0.000	6.826	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.140	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.140	0.052	0.000	0.000	0.0012	0.000	0.000	6.828	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.150	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.150	0.052	0.000	0.000	0.0012	0.000	0.000	6.830	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.160	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.160	0.052	0.000	0.000	0.0012	0.000	0.000	6.832	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.170	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.170	0.052	0.000	0.000	0.0012	0.000	0.000	6.834	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.180	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.180	0.052	0.000	43.633	0.0012	0.000	1.042	6.836	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.190	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.190	0.052	0.873	43.633	0.0012	0.021	1.042	6.838	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.200	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.200	0.070	0.873	-43.633	0.0017	0.021	-1.042	6.840	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.210	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.210	0.070	0.000	-43.633	0.0017	0.000	-1.042	6.842	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.220	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.220	0.070	0.000	0.000	0.0017	0.000	0.000	6.844	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.230	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.230	0.070	0.000	0.000	0.0017	0.000	0.000	6.846	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.240	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.240	0.070	0.000	0.000	0.0017	0.000	0.000	6.848	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.250	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.250	0.070	0.000	0.000	0.0017	0.000	0.000	6.850	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.260	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.260	0.070	0.000	0.000	0.0017	0.000	0.000	6.852	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.270	0.017	0.000	0.000	4.1667E-4	0.000	0.000	34.270	0.070	0.000	43.633	0.0017	0.000	1.042	6.854	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.280	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	34.280	0.070	0.873	43.633	0.0017	0.021	1.042	6.856	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.290	0.017	-0.873	-43.633	4.1667E-4	-0.021	-1.042	34.290	0.087	0.873	-43.633	0.0021	0.021	-1.042	6.858	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.300	0.000	-0.873	43.633	0.0000	-0.021	1.042	34.300	0.087	0.000	-43.633	0.0021	0.000	-1.042	6.860	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.310	0.000	0.000	43.633	0.0000	0.000	1.042	34.310	0.087	0.000	0.000	0.0021	0.000	0.000	6.862	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.320	0.000	0.000	0.000	0.0000	0.000	0.000	34.320	0.087	0.000	0.000	0.0021	0.000	0.000	6.864	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.330	0.000	0.000	0.000	0.0000	0.000	0.000	34.330	0.087	0.000	0.000	0.0021	0.000	0.000	6.866	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.340	0.000	0.000	0.000	0.0000	0.000	0.000	34.340	0.087	0.000	0.000	0.0021	0.000	0.000	6.868	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.350	0.000	0.000	0.000	0.0000	0.000	0.000	34.350	0.087	0.000	0.000	0.0021	0.000	0.000	6.870	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.360	0.000	0.000	0.000	0.0000	0.000	0.000	34.360	0.087	0.000	43.633	0.0021	0.000	1.042	6.872	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.370	0.000	0.000	0.000	0.0000	0.000	0.000	34.370	0.087	0.873	43.633	0.0021	0.021	1.042	6.874	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.380	0.000	0.000	0.000	0.0000	0.000	0.000	34.380	0.105	0.873	-43.633	0.0025	0.021	-1.042	6.876	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.390	0.000	0.000	0.000	0.0000	0.000	0.000	34.390	0.105	0.000	-43.633	0.0025	0.000	-1.042	6.878	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.400	0.000	0.000	0.000	0.0000	0.000	0.000	34.400	0.105	0.000	0.000	0.0025	0.000	0.000	6.880	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.410	0.000	0.000	0.000	0.0000	0.000	0.000	34.410	0.105	0.000	0.000	0.0025	0.000	0.000	6.882	-0.314	0.000	0.000	-0.0075	0.000	0.000														
34.420	0.000	0.000	0.000	0.0000	0.000	0.000	34.420	0.105	0.000	0.000	0.0025	0.000	0.000	6.884	-0.314	0.000	1090.831	-0.0075	0.000	26.042														
34.430	0.000	0.000	0.000	0.0000	0.000	0.000	34.430	0.105	0.000	0.000	0.0025	0.000	0.000	6.886	-0.314	4.363	1090.831	-0.0075	0.104	26.042														
34.440	0.000	0.000	0.000	0.0000	0.000	0.000	34.440	0.105	0.000	0.000	0.0025	0.000	0.000	6.888	-0.297	4.363	-1090.831	-0.0071	0.104	-26.042														
34.450	0.000	0.000	0.000	0.0000	0.000	0.000	34.450	0.105	0.000	0.000	0.0025	0.000	0.000	6.890	-0.297	0.000	-1090.831	-0.0071	0.000	-26.042														
34.460	0.000	0.000	0.000	0.0000	0.000	0.000	34.460	0.105	0.000	0.000	0.0025	0.000	0.000	6.892	-0.297	0.000		-0.0071	0.000															
34.470	0.000	0.000	0.000	0.0000	0.000	0.000	34.470	0.105	0.000	43.633	0.0025	0.000	1.042																					
34.480	0.000	0.000	0.000	0.0000	0.000	0.000	34.480	0.105	0.873	43.633	0.0025	0.021	1.042																					
34.490	0.000	0.000	0.000	0.0000	0.000	0.000	34.490	0.122	0.873	-43.633	0.0029	0.021	-1.042																					
34.500	0.000	0.000	0.000	0.0000	0.000	0.000	34.500	0.122	0.000	-43.633	0.0029	0.000	-1.042																					
34.510	0.000	0.000	0.000	0.0000	0.000	0.000	34.510	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.520	0.000	0.000	0.000	0.0000	0.000	0.000	34.520	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.530	0.000	0.000	0.000	0.0000	0.000	0.000	34.530	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.540	0.000	0.000	0.000	0.0000	0.000	0.000	34.540	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.550	0.000	0.000	0.000	0.0000	0.000	0.000	34.550	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.560	0.000	0.000	0.000	0.0000	0.000	0.000	34.560	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.570	0.000	0.000	0.000	0.0000	0.000	0.000	34.570	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.580	0.000	0.000	0.000	0.0000	0.000	0.000	34.580	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.590	0.000	0.000	0.000	0.0000	0.000	0.000	34.590	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.600	0.000	0.000	0.000	0.0000	0.000	0.000	34.600	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.610	0.000	0.000	0.000	0.0000	0.000	0.000	34.610	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.620	0.000	0.000	0.000	0.0000	0.000	0.000	34.620	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.630	0.000	0.000	0.000	0.0000	0.000	0.000	34.630	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.640	0.000	0.000	0.000	0.0000	0.000	0.000	34.640	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.650	0.000	0.000	0.000	0.0000	0.000	0.000	34.650	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.660	0.000	0.000	0.000	0.0000	0.000	0.000	34.660	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.670	0.000	0.000	0.000	0.0000	0.000	0.000	34.670	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.680	0.000	0.000	0.000	0.0000	0.000	0.000	34.680	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.690	0.000	0.000	0.000	0.0000	0.000	0.000	34.690	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.700	0.000	0.000	0.000	0.0000	0.000	0.000	34.700	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.710	0.000	0.000	0.000	0.0000	0.000	0.000	34.710	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.720	0.000	0.000	0.000	0.0000	0.000	0.000	34.720	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.730	0.000	0.000	0.000	0.0000	0.000	0.000	34.730	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.740	0.000	0.000	0.000	0.0000	0.000	0.000	34.740	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.750	0.000	0.000	0.000	0.0000	0.000	0.000	34.750	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.760	0.000	0.000	0.000	0.0000	0.000	0.000	34.760	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.770	0.000	0.000	0.000	0.0000	0.000	0.000	34.770	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.780	0.000	0.000	0.000	0.0000	0.000	0.000	34.780	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.790	0.000	0.000	0.000	0.0000	0.000	0.000	34.790	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.800	0.000	0.000	0.000	0.0000	0.000	0.000	34.800	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.810	0.000	0.000	0.000	0.0000	0.000	0.000	34.810	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.820	0.000	0.000	0.000	0.0000	0.000	0.000	34.820	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.830	0.000	0.000	0.000	0.0000	0.000	0.000	34.830	0.122	0.000	0.000	0.0029	0.000	0.000																					
34.840	0.000	0.000	0.000	0.0000	0.000	0.000	34.840	0.122	0.000	-43.633	0.0029	0.000	-1.042																					
34.850	0.000	0.000	0.000	0.0000	0.000	0.000	34.850	0.122	-0.873	-43.633	0.0029	-0.021	-1.042																					
34.860	0.000	0.000	0.000	0.0000	0.000	0.000	34.860	0.105	-0.873	43.633	0.0025	-0.021	1.042																					
34.870	0.000	0.000	0.000	0.0000	0.000	0.000	34.870	0.105	0.000	43.633	0.0025	0.000	1.042																					
34.880	0.000	0.000	0.000	0.0000	0.000	0.000	34.880	0.105	0.000	0.000	0.0025	0.000	0.000																					
34.890	0.000	0.000	0.000	0.0000	0.000	0.000	34.890	0.105	0.000	0.000	0.0025	0.000	0.000																					
34.900	0.000	0.000	0.000	0.0000	0.000	0.000	34.900	0.105	0.000	0.000	0.0025	0.000	0.000																					
34.910	0.000	0.000	0.000	0.0000	0.000	0.000	34.910	0.105	0.000	0.000	0.0025	0.000	0.000																					
34.920	0.000	0.000	0.000	0.0000	0.000	0.000	34.920	0.105	0.000	0.000	0.0025	0.000	0.000																					
34.930	0.000	0.000	0.000	0.0000	0.000	0.000	34.930	0.105	0.000	0.000	0.0025	0.000	0.000																					
34.940	0.000	0.000	0.000	0.0000	0.000	0.000	34.940	0.105	0.000	0.000	0.0025	0.000	0.000																					
34.950	0.000	0.000	0.000	0.0000	0.000	0.000	34.950	0.105	0.000	-43.633	0.0025	0.000	-1.042																					
34.960	0.000	0.000	0.000	0.0000	0.000	0.000	34.960	0.105	-0.873	-43.633	0.0025	-0.021	-1.042																					
34.970	0.000	0.000	0.000	0.0000	0.000	0.000	34.970	0.087	-0.873	43.633	0.0021	-0.021	1.042																					
34.980	0.000	0.000	0.000	0.0000	0.000	0.000	34.980	0.087	0.000	43.633	0.0021	0.000	1.042																					
34.990	0.000	0.000	0.000	0.0000	0.000	0.000	34.990	0.087	0.000	0.000	0.0021	0.000	0.000																					
35.000	0.000	0.000	0.000	0.0000	0.000	0.000	35.000	0.087	0.000	0.000	0.0021	0.000	0.000																					
35.010	0.000	0.000	0.000	0.0000	0.000	0.000	35.010	0.087	0.000	0.000	0.0021	0.000	0.000																					
35.020	0.000	0.000	0.000	0.0000	0.000	0.000	35.020	0.087	0.000	0.000	0.0021	0.000	0.000																					
35.030	0.000	0.000	0.000	0.0000	0.000	0.000	35.030	0.087	0.000	0.000	0.0021	0.000	0.000																					
35.040	0.000	0.000	0.000	0.0000	0.000	0.000	35.040	0.087	0.000	-43.633	0.0021	0.000	-1.042																					
35.050	0.000	0.000	0.000	0.0000	0.000	0.000	35.050	0.087	-0.873	-43.633	0.0021	-0.021	-1.042																					
35.060	0.000	0.000	0.000	0.0000	0.000	0.000	35.060	0.070	-0.873	43.633	0.0017	-0.021	1.042																					
35.070	0.000	0.000	0.000	0.0000	0.000	0.000	35.070	0.070	0.000	43.633	0.0017	0.000	1.042																					
35.080	0.000	0.000	0.000	0.0000	0.000	0.000	35.080	0.070	0.000	0.000	0.0017	0.000	0.000																					
35.090	0.000	0.000	0.000	0.0000	0.000	0.000	35.090	0.070	0.000	0.000	0.0017	0.000	0.000																					
35.100	0.000	0.000	0.000	0.0000	0.000	0.000	35.100	0.070	0.000	0.000	0.0017	0.000	0.000																					
35.110	0.000	0.000	0.000	0.0000	0.000	0.000	35.110	0.070	0.000	0.000	0.0017	0.000	0.000																					
35.120	0.000	0.000	0.000	0.0000	0.000	0.000	35.120	0.070	0.000	0.000	0.0017	0.000	0.000																					
35.130	0.000	0.000	0.000	0.0000	0.000	0.000	35.130	0.070	0.000	-43.633	0.0017	0.000	-1.042																					
35.140	0.000	0.000	0.000	0.0000	0.000	0.000	35.140	0.070	-0.873	-43.633	0.0017	-0.021	-1.042																					
35.150	0.000	0.000	0.000	0.0000	0.000	0.000	35.150	0.052	-0.873	43.633	0.0012	-0.021	1.042																					
35.160	0.000	0.000	43.633	0.0000	0.000	1.042	35.160	0.052	0.000	43.633	0.0012	0.000	1.042																					
35.170	0.000	0.873	43.633	0.0000	0.021	1.042	35.170	0.052	0.000	0.000	0.0012	0.000	0.000																					
35.180	0.017	0.873	-43.633	4.1667E-4	0.021	-1.042	35.180	0.052	0.000	0.000	0.0012	0.000	0.000																					
35.190	0.017	0.000	-43.633	4.1667E-4	0.000	-1.042	35.190	0.052	0.000	0.000	0.0012	0.000	0.000																					
35.200	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.200	0.052	0.000	0.000	0.0012	0.000	0.000																					
35.210	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.210	0.052	0.000	0.000	0.0012	0.000	0.000																					
35.220	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.220	0.052	0.000	0.000	0.0012	0.000	0.000																					
35.230	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.230	0.052	0.000	0.000	0.0012	0.000	0.000																					
35.240	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.240	0.052	0.000	-43.633	0.0012	0.000	-1.042																					
35.250	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.250	0.052	-0.873	-43.633	0.0012	-0.021	-1.042																					
35.260	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.260	0.035	-0.873	43.633	8.3333E-4	-0.021	1.042																					
35.270	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.270	0.035	0.000	43.633	8.3333E-4	0.000	1.042																					
35.280	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.280	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.290	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.290	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.300	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.300	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.310	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.310	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.320	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.320	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.330	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.330	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.340	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.340	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.350	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.350	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.360	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.360	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.370	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.370	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.380	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.380	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.390	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.390	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.400	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.400	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.410	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.410	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.420	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.420	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.430	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.430	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.440	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.440	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.450	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.450	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.460	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.460	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.470	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.470	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.480	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.480	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
35.490	0.017	0.000	0.000	4.1667E-4	0.000	0.000	35.490	0.035	0.000	0.000	8.3333E-4	0.000	0.000																					
